#hg19.ensGene.name	hg19.ensGene.chrom	hg19.ensGene.strand	hg19.ensGene.txStart	hg19.ensGene.txEnd	hg19.ensGene.cdsStart	hg19.ensGene.cdsEnd	hg19.ensGene.exonCount	hg19.ensGene.exonStarts	hg19.ensGene.exonEnds	hg19.ensemblToGeneName.value
ENST00000328619	chr21	+	41239242	41301322	41239427	41301036	3	41239242,41270400,41300908,	41239436,41270452,41301322,	PCP4
ENST00000462224	chr21	+	41239364	41301322	41239427	41298006	4	41239364,41270400,41297971,41300908,	41239436,41270452,41298116,41301322,	PCP4
ENST00000468717	chr21	+	41239376	41301322	41301322	41301322	4	41239376,41255378,41270400,41300908,	41239436,41255558,41270452,41301322,	PCP4
ENST00000467565	chr21	+	41270400	41301322	41301322	41301322	3	41270400,41287990,41300908,	41270452,41288111,41301322,	PCP4
ENST00000404019	chr21	-	41384827	41725581	41384960	41725581	29	41384827,41414297,41416004,41423884,41427651,41434795,41446963,41450613,41452078,41455834,41457528,41459096,41465647,41496121,41505780,41514484,41516417,41539144,41550853,41559057,41559817,41560968,41648023,41667981,41684007,41710027,41711045,41719596,41725391,	41385259,41414600,41416202,41424034,41427767,41434826,41447140,41450904,41452267,41455933,41457692,41459214,41465801,41496255,41505936,41514631,41516658,41539215,41551021,41559186,41559914,41561165,41648197,41668101,41684286,41710303,41711342,41719872,41725581,	DSCAM
ENST00000347667	chr21	+	42539727	42654445	42540190	42647551	8	42539727,42598192,42609439,42613745,42615302,42617888,42629084,42647297,	42540502,42598281,42609656,42613874,42615437,42617990,42629253,42654445,	BACE2
ENST00000328735	chr21	+	42539727	42648524	42540190	42647354	8	42539727,42598192,42609439,42613745,42615302,42617888,42622678,42647297,	42540502,42598281,42609656,42613874,42615437,42617990,42622828,42648524,	BACE2
ENST00000330333	chr21	+	42539727	42648524	42540190	42647551	9	42539727,42598192,42609439,42613745,42615302,42617888,42622678,42629084,42647297,	42540502,42598281,42609656,42613874,42615437,42617990,42622828,42629253,42648524,	BACE2
ENST00000470864	chr21	+	42597402	42613766	42613766	42613766	4	42597402,42598192,42609439,42613745,	42597622,42598281,42609656,42613766,	BACE2
ENST00000487994	chr21	+	42598192	42647308	42647308	42647308	8	42598192,42609439,42613745,42615302,42617888,42622678,42629084,42647297,	42598281,42609656,42613866,42615437,42617990,42622828,42629253,42647308,	BACE2
ENST00000491838	chr21	+	42598229	42618198	42618198	42618198	5	42598229,42609439,42613745,42615302,42617888,	42598281,42609656,42613874,42615437,42618198,	BACE2
ENST00000332149	chr21	-	42836477	42880086	42838068	42870060	14	42836477,42839660,42840322,42842574,42843732,42845251,42848503,42851098,42852402,42860320,42861433,42866282,42870045,42880007,	42838080,42839813,42840465,42842670,42843908,42845423,42848547,42851209,42852529,42860440,42861520,42866505,42870116,42880086,	TMPRSS2
ENST00000398585	chr21	-	42836479	42879992	42838068	42879931	14	42836479,42839660,42840322,42842574,42843732,42845251,42848503,42851098,42852402,42860320,42861433,42866282,42870045,42879876,	42838080,42839813,42840465,42842670,42843908,42845423,42848547,42851209,42852529,42860440,42861520,42866505,42870116,42879992,	TMPRSS2
ENST00000458356	chr21	-	42837935	42879909	42838068	42870060	14	42837935,42839660,42840322,42842574,42843732,42845251,42848503,42851098,42852402,42860320,42861433,42866282,42870045,42879876,	42838080,42839813,42840465,42842670,42843908,42845423,42848547,42851209,42852529,42860440,42861520,42866505,42870116,42879909,	TMPRSS2
ENST00000454499	chr21	-	42839660	42903043	42839660	42870060	14	42839660,42840322,42842574,42843732,42845251,42848503,42851098,42852402,42860320,42861433,42866282,42870045,42901899,42902911,	42839813,42840465,42842670,42843908,42845423,42848547,42851209,42852529,42860440,42861520,42866505,42870116,42902145,42903043,	TMPRSS2
ENST00000424093	chr21	-	42845372	42880019	42845372	42870060	8	42845372,42848503,42851098,42852402,42861433,42866282,42870045,42880007,	42845423,42848547,42851209,42852529,42861520,42866505,42870116,42880019,	TMPRSS2
ENST00000497881	chr21	-	42858393	42880085	42880085	42880085	3	42858393,42870045,42880007,	42859952,42870116,42880085,	TMPRSS2
ENST00000463138	chr21	-	42860415	42880041	42880041	42880041	4	42860415,42861433,42870045,42880007,	42860440,42861520,42870116,42880041,	TMPRSS2
ENST00000433067	chr21	-	43218384	43299591	43221399	43299480	33	43218384,43218742,43220343,43222871,43224693,43230509,43231108,43236060,43239937,43240450,43241422,43242258,43243673,43246315,43248521,43255545,43256221,43256576,43258042,43259731,43267198,43274674,43277284,43279139,43279700,43280435,43281671,43282033,43287408,43291602,43298803,43299104,43299378,	43218656,43218903,43221882,43223081,43224774,43230685,43231192,43236192,43240057,43240530,43241586,43242393,43243805,43246410,43248689,43255633,43256316,43256758,43258172,43259962,43267300,43274927,43277438,43279337,43279794,43280481,43281860,43282116,43287486,43291730,43298969,43299249,43299591,	PRDM15
ENST00000398548	chr21	-	43218384	43299582	43221399	43299480	24	43218384,43222871,43224693,43230509,43231108,43236060,43239937,43240450,43241422,43242258,43243673,43246315,43248521,43255545,43256221,43256576,43258042,43259731,43267198,43274674,43277284,43279700,43280435,43299378,	43221882,43223081,43224774,43230685,43231192,43236192,43240057,43240530,43241586,43242393,43243805,43246410,43248689,43255633,43256316,43256758,43258172,43259962,43267300,43274927,43277438,43279794,43280481,43299582,	PRDM15
ENST00000449395	chr21	-	43218384	43299582	43246395	43299480	25	43218384,43222871,43224693,43230509,43231108,43236060,43239937,43240450,43241422,43242258,43243673,43246315,43248521,43254613,43255545,43256221,43256576,43258042,43259731,43267198,43274674,43277284,43279700,43280435,43299378,	43221882,43223081,43224774,43230685,43231192,43236192,43240057,43240530,43241586,43242393,43243805,43246410,43248637,43254673,43255633,43256316,43256758,43258172,43259962,43267300,43274927,43277438,43279794,43280481,43299582,	PRDM15
ENST00000441787	chr21	-	43218384	43299582	43246395	43280472	24	43218384,43222871,43224693,43230509,43231108,43236060,43239937,43240450,43241422,43242258,43243673,43246315,43248521,43255545,43256221,43256576,43258042,43259731,43267198,43274674,43277284,43279700,43280435,43299378,	43221882,43223081,43224774,43230685,43231192,43236192,43240057,43240530,43241586,43242393,43243805,43246410,43248637,43255633,43256316,43256698,43258172,43259962,43267300,43274927,43277438,43279794,43280481,43299582,	PRDM15
ENST00000422911	chr21	-	43218384	43299582	43221399	43299480	25	43218384,43222871,43224693,43230509,43231108,43236060,43239937,43240450,43241422,43242258,43243673,43246315,43248521,43254613,43255545,43256221,43256576,43258042,43259731,43267198,43274674,43277284,43279700,43280435,43299378,	43221882,43223081,43224774,43230685,43231192,43236192,43240057,43240530,43241586,43242393,43243805,43246410,43248689,43254673,43255633,43256316,43256758,43258172,43259962,43267300,43274927,43277438,43279794,43280481,43299582,	PRDM15
ENST00000447016	chr21	-	43218384	43283411	43221399	43280472	26	43218384,43218742,43220343,43222871,43224693,43230509,43231108,43236060,43239937,43240450,43241422,43242258,43243673,43246315,43248521,43255545,43256221,43256576,43258042,43259731,43267198,43274674,43277284,43279700,43280435,43283343,	43218656,43218903,43221882,43223081,43224774,43230685,43231192,43236192,43240057,43240530,43241586,43242393,43243805,43246410,43248689,43255633,43256316,43256758,43258172,43259962,43267300,43274927,43277438,43279794,43280481,43283411,	PRDM15
ENST00000447207	chr21	-	43218386	43280487	43221399	43280472	25	43218386,43218742,43220343,43222871,43224693,43230509,43231108,43236060,43239937,43240450,43241422,43242258,43243673,43246315,43248521,43255545,43256221,43256576,43258042,43259731,43267198,43274674,43277284,43279700,43280435,	43218656,43218903,43221882,43223081,43224774,43230685,43231192,43236192,43240057,43240530,43241586,43242393,43243805,43246410,43248689,43255633,43256316,43256758,43258172,43259962,43267300,43274927,43277438,43279794,43280487,	PRDM15
ENST00000538201	chr21	-	43218386	43299582	43221399	43280472	25	43218386,43222871,43224693,43230509,43231108,43236060,43239937,43240450,43241422,43242258,43243673,43246315,43248521,43254613,43255545,43256221,43256576,43258042,43259731,43267198,43274674,43277284,43279700,43280435,43299378,	43221882,43223081,43224774,43230685,43231192,43236192,43240057,43240530,43241586,43242393,43243805,43246410,43248689,43254673,43255633,43256316,43256758,43258172,43259962,43267300,43274927,43277438,43279794,43280481,43299582,	PRDM15
ENST00000269844	chr21	-	43221324	43299591	43221399	43299480	31	43221324,43222871,43224693,43230509,43231108,43236060,43239937,43240450,43241422,43242258,43243673,43246315,43248521,43255545,43256221,43256576,43258042,43259731,43267198,43274674,43277284,43279139,43279700,43280435,43281671,43282033,43287408,43291602,43298803,43299104,43299378,	43221882,43223081,43224774,43230685,43231192,43236192,43240057,43240530,43241586,43242393,43243805,43246410,43248689,43255633,43256316,43256758,43258172,43259962,43267300,43274927,43277438,43279337,43279794,43280481,43281860,43282116,43287486,43291730,43298969,43299249,43299591,	PRDM15
ENST00000491486	chr21	-	43241546	43255627	43255627	43255627	5	43241546,43242258,43246315,43248521,43255545,	43241586,43242393,43246410,43248689,43255627,	PRDM15
ENST00000489661	chr21	-	43246332	43257003	43257003	43257003	5	43246332,43248521,43255545,43256221,43256576,	43246410,43248689,43255633,43256316,43257003,	PRDM15
ENST00000496124	chr21	-	43248676	43257041	43257041	43257041	5	43248676,43255545,43256221,43256576,43256984,	43248689,43255633,43256316,43256758,43257041,	PRDM15
ENST00000400424	chr21	+	43483067	43563563	43496253	43557730	23	43483067,43496113,43504193,43505400,43508403,43510407,43519035,43522275,43523977,43529671,43530989,43531615,43533682,43535982,43539220,43541196,43542940,43546454,43547115,43547781,43549822,43557548,43562205,	43483323,43496356,43504355,43505522,43508590,43510548,43519290,43522388,43524197,43529809,43531231,43531820,43533940,43536095,43539434,43541334,43543260,43546600,43547352,43547941,43549907,43557751,43563563,	UMODL1
ENST00000400427	chr21	+	43483067	43563105	43496253	43557730	22	43483067,43496113,43504193,43505400,43508403,43510407,43519035,43522275,43523977,43529671,43530989,43533682,43535982,43539220,43541196,43542940,43546454,43547115,43547781,43549822,43557548,43562205,	43483323,43496356,43504355,43505522,43508590,43510548,43519290,43522388,43524197,43529809,43531820,43533940,43536095,43539434,43541334,43543260,43546600,43547352,43547941,43549907,43557751,43563105,	UMODL1
ENST00000408910	chr21	+	43491425	43563105	43491425	43557730	23	43491425,43496113,43504193,43505400,43508403,43510407,43519035,43522275,43523977,43529671,43530989,43531615,43533682,43535982,43539220,43541196,43542940,43546454,43547115,43547781,43549822,43557548,43562205,	43491501,43496356,43504355,43505522,43508590,43510548,43519290,43522388,43524197,43529809,43531231,43531820,43533940,43536095,43539434,43541334,43543260,43546600,43547352,43547941,43549907,43557751,43563105,	UMODL1
ENST00000408989	chr21	+	43491425	43563105	43491425	43557730	22	43491425,43496113,43504193,43505400,43508403,43510407,43519035,43522275,43523977,43529671,43530989,43533682,43535982,43539220,43541196,43542940,43546454,43547115,43547781,43549822,43557548,43562205,	43491501,43496356,43504355,43505522,43508590,43510548,43519290,43522388,43524197,43529809,43531820,43533940,43536095,43539434,43541334,43543260,43546600,43547352,43547941,43549907,43557751,43563105,	UMODL1
ENST00000485357	chr21	+	43505412	43524167	43505412	43510533	7	43505412,43510407,43513513,43513980,43519035,43522275,43523977,	43505522,43510548,43513632,43514134,43519290,43522388,43524167,	UMODL1
ENST00000466434	chr21	+	43505412	43524167	43505412	43514066	7	43505412,43508403,43510407,43513980,43519035,43522275,43523977,	43505522,43508590,43510548,43514134,43519290,43522388,43524167,	UMODL1
ENST00000400421	chr21	+	43505412	43524167	43505412	43521852	7	43505412,43508403,43510407,43519035,43521817,43522275,43523977,	43505522,43508590,43510548,43519290,43521927,43522388,43524167,	UMODL1
ENST00000497243	chr21	+	43505412	43524167	43505412	43508572	5	43505412,43508403,43519035,43522275,43523977,	43505584,43508590,43519290,43522388,43524167,	UMODL1
ENST00000468982	chr21	+	43505412	43524167	43505412	43508525	7	43505412,43506639,43508403,43510407,43519035,43522275,43523977,	43505522,43506736,43508590,43510548,43519290,43522388,43524167,	UMODL1
ENST00000491559	chr21	+	43505412	43524167	43505412	43510533	8	43505412,43508403,43510407,43513513,43513980,43519035,43522275,43523977,	43505522,43508583,43510548,43513632,43514134,43519290,43522388,43524167,	UMODL1
ENST00000398457	chr21	+	43619798	43717354	43621785	43716502	16	43619798,43621686,43645780,43691179,43693412,43697004,43702383,43704669,43705989,43707998,43708320,43710159,43711201,43711607,43714651,43716273,	43619959,43621833,43646024,43691297,43693545,43697055,43702529,43704793,43706104,43708147,43708422,43710328,43711302,43711766,43714770,43717354,	ABCG1
ENST00000462050	chr21	+	43619921	43717354	43717354	43717354	17	43619921,43621686,43627055,43645780,43691179,43693412,43697004,43702383,43704669,43705989,43707998,43708320,43710159,43711201,43711607,43714651,43716273,	43619959,43621833,43627096,43646024,43691297,43693545,43697055,43702529,43704793,43706104,43708147,43708422,43710328,43711302,43711766,43714770,43717354,	ABCG1
ENST00000347800	chr21	+	43636186	43717354	43636265	43716502	15	43636186,43645780,43691179,43693412,43697004,43702383,43704669,43705989,43707998,43708320,43710159,43711201,43711607,43714651,43716273,	43636298,43646024,43691297,43693545,43697055,43702529,43704793,43706104,43708147,43708422,43710328,43711302,43711766,43714770,43717354,	ABCG1
ENST00000450121	chr21	+	43639226	43704758	43639372	43704758	6	43639226,43645780,43691179,43693412,43702383,43704669,	43639414,43646024,43691297,43693545,43702529,43704758,	ABCG1
ENST00000361802	chr21	+	43639227	43717354	43639372	43716502	15	43639227,43645780,43691179,43693412,43697004,43702383,43704669,43705989,43707998,43708320,43710159,43711201,43711607,43714651,43716273,	43639414,43646024,43691297,43693545,43697055,43702529,43704793,43706104,43708183,43708422,43710328,43711302,43711766,43714770,43717354,	ABCG1
ENST00000398449	chr21	+	43639227	43717354	43639372	43716502	15	43639227,43645780,43691179,43693412,43697004,43702383,43704669,43705989,43707998,43708320,43710159,43711201,43711607,43714651,43716273,	43639414,43646024,43691297,43693545,43697055,43702529,43704793,43706104,43708147,43708422,43710328,43711302,43711766,43714770,43717354,	ABCG1
ENST00000343687	chr21	+	43639930	43717354	43640081	43716502	15	43639930,43645780,43691179,43693412,43697004,43702383,43704669,43705989,43707998,43708320,43710159,43711201,43711607,43714651,43716273,	43640156,43646024,43691297,43693545,43697055,43702529,43704793,43706104,43708147,43708422,43710328,43711302,43711766,43714770,43717354,	ABCG1
ENST00000291536	chr21	-	43892595	43916464	43892927	43916296	9	43892595,43896007,43897400,43902746,43905778,43906480,43912867,43913075,43916242,	43892980,43896157,43897554,43902818,43905914,43906571,43912973,43913189,43916464,	RSPH1
ENST00000493019	chr21	-	43892595	43916356	43916356	43916356	8	43892595,43896007,43897400,43902746,43904786,43912867,43913075,43916242,	43892980,43896157,43897554,43902818,43906571,43912973,43913189,43916356,	RSPH1
ENST00000398352	chr21	-	43892806	43916296	43892927	43916296	8	43892806,43896007,43897400,43902746,43905778,43906480,43912867,43916242,	43892980,43896157,43897554,43902818,43905914,43906571,43912973,43916296,	RSPH1
ENST00000460905	chr21	+	44073745	44174174	44174174	44174174	7	44073745,44119022,44152179,44153465,44163885,44171225,44174099,	44073993,44119121,44152234,44153536,44163970,44171307,44174174,	PDE9A
ENST00000335512	chr21	+	44073859	44195619	44073924	44195403	19	44073859,44106301,44108026,44119077,44152179,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44106372,44108104,44119121,44152234,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000539837	chr21	+	44073861	44195616	44106337	44195403	17	44073861,44106301,44108026,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44106372,44108104,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195616,	PDE9A
ENST00000490803	chr21	+	44073864	44195619	44195619	44195619	17	44073864,44151879,44152179,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44152059,44152234,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000291539	chr21	+	44073864	44195619	44073924	44195403	20	44073864,44106301,44108026,44119077,44151879,44152179,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44106372,44108104,44119121,44152059,44152234,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000470987	chr21	+	44073864	44195619	44195619	44195619	20	44073864,44106301,44108026,44117524,44119077,44152179,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44106372,44108104,44117600,44119121,44152234,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000467403	chr21	+	44073888	44195619	44195619	44195619	16	44073888,44152179,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44152234,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000460989	chr21	+	44073888	44195619	44195619	44195619	14	44073888,44153465,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44153536,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000398227	chr21	+	44073888	44195619	44073976	44195403	15	44073888,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000398229	chr21	+	44073888	44195619	44073976	44195403	16	44073888,44108026,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44108104,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000497805	chr21	+	44073888	44195619	44195619	44195619	18	44073888,44108026,44119077,44151879,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44108104,44119121,44152059,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000398225	chr21	+	44073888	44195619	44073976	44195403	19	44073888,44108026,44119077,44151879,44152179,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44108104,44119121,44152059,44152234,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000335440	chr21	+	44073888	44195619	44073924	44195403	17	44073888,44108026,44119077,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44108104,44119121,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000328862	chr21	+	44073888	44195619	44073924	44195403	19	44073888,44106301,44119077,44151879,44152179,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44106372,44119121,44152059,44152234,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000468805	chr21	+	44073888	44195619	44195619	44195619	17	44073888,44106301,44119077,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44106372,44119121,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000398236	chr21	+	44073888	44195619	44073924	44195403	18	44073888,44106301,44119077,44152179,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44106372,44119121,44152234,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000398234	chr21	+	44073888	44195619	44073976	44195403	18	44073888,44108026,44119077,44152179,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44108104,44119121,44152234,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000462571	chr21	+	44073888	44195619	44195619	44195619	18	44073888,44119077,44144665,44152179,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44119121,44144744,44152234,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000398232	chr21	+	44073888	44195619	44073976	44195403	18	44073888,44119077,44151879,44152179,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44119121,44152059,44152234,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000495521	chr21	+	44073888	44195619	44195619	44195619	15	44073888,44119077,44153465,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44119121,44153536,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000380328	chr21	+	44073888	44195619	44073924	44195403	19	44073888,44106301,44108026,44117524,44119077,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44106372,44108104,44117600,44119121,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000398224	chr21	+	44073922	44195619	44073976	44195403	17	44073922,44119077,44152179,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44119121,44152234,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000349112	chr21	+	44073922	44195619	44073924	44195403	16	44073922,44119077,44153465,44163885,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44073993,44119121,44153536,44163970,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000467162	chr21	+	44106306	44182249	44182249	44182249	11	44106306,44108026,44119077,44152179,44153465,44171225,44174099,44179108,44180437,44180934,44182192,	44106372,44108104,44119121,44152234,44153536,44171307,44174174,44179195,44180542,44181017,44182249,	PDE9A
ENST00000495343	chr21	+	44151867	44195619	44195619	44195619	15	44151867,44152179,44153465,44171225,44174099,44179108,44180437,44180934,44182192,44185490,44188297,44189136,44190812,44192548,44195389,	44152059,44152234,44153536,44171307,44174174,44179195,44180542,44181017,44182349,44185604,44188402,44189265,44190908,44192630,44195619,	PDE9A
ENST00000460259	chr21	+	44299753	44329215	44329215	44329215	6	44299753,44303715,44306910,44317036,44323291,44328973,	44299975,44303905,44307069,44317157,44324386,44329215,	NDUFV3
ENST00000291547	chr21	+	44394619	44453691	44424491	44450211	11	44394619,44424435,44427600,44430162,44433177,44437017,44438242,44441412,44444980,44448811,44449999,	44394774,44424542,44427728,44430334,44433348,44437117,44438340,44441541,44445057,44448984,44453691,	PKNOX1
ENST00000432907	chr21	+	44394750	44450441	44433177	44450211	10	44394750,44424435,44427600,44433177,44437017,44438242,44441412,44444980,44448811,44449999,	44394774,44424542,44427728,44433348,44437117,44438340,44441541,44445057,44448984,44450441,	PKNOX1
ENST00000480179	chr21	+	44394771	44438161	44438161	44438161	6	44394771,44424435,44427600,44430162,44433177,44437017,	44394774,44424542,44427728,44430334,44433348,44438161,	PKNOX1
ENST00000560448	chr21	+	44424431	44450441	44424491	44433184	9	44424431,44427600,44433177,44437017,44438242,44441412,44444980,44448811,44449999,	44424542,44427728,44433348,44437117,44438340,44441541,44445057,44448984,44450441,	PKNOX1
ENST00000291560	chr21	-	44949071	45079374	44949633	45077977	9	44949071,45012105,45033710,45050202,45053152,45064169,45076467,45077941,45079266,	44949842,45012209,45033828,45050335,45053302,45064273,45076618,45078201,45079374,	HSF2BP
ENST00000542962	chr21	-	44949081	45078025	44949633	45064235	7	44949081,45012105,45033710,45050202,45053152,45064169,45077941,	44949842,45012209,45033828,45050335,45053302,45064273,45078025,	HSF2BP
ENST00000497547	chr21	+	45209393	45225174	45209510	45223655	13	45209393,45211230,45212552,45213199,45215069,45217302,45217511,45217787,45219450,45220397,45220742,45222154,45223392,	45209643,45211313,45212610,45213285,45215131,45217432,45217576,45217981,45219530,45220495,45220762,45222268,45225174,	RRP1
ENST00000467112	chr21	+	45212811	45225174	45225174	45225174	10	45212811,45215069,45217302,45217511,45217787,45219450,45220397,45220742,45222154,45223392,	45213285,45215131,45217432,45217576,45217981,45219530,45220495,45220762,45222268,45225174,	RRP1
ENST00000471909	chr21	+	45217241	45225174	45225174	45225174	8	45217241,45217511,45217787,45219450,45220397,45220742,45222154,45223392,	45217432,45217576,45217981,45219530,45220495,45220762,45222268,45225174,	RRP1
ENST00000291572	chr21	+	45285066	45406417	45379562	45402273	10	45285066,45323837,45379514,45387826,45388998,45390533,45391268,45397926,45400869,45402184,	45285226,45323900,45379740,45387996,45389160,45390687,45391371,45398002,45401068,45406417,	AGPAT3
ENST00000448287	chr21	+	45287122	45387886	45379562	45387886	4	45287122,45323837,45379514,45387826,	45287227,45323900,45379740,45387886,	AGPAT3
ENST00000398061	chr21	+	45302424	45404554	45379562	45402273	10	45302424,45323837,45379514,45387826,45388998,45390533,45391268,45397926,45400869,45402184,	45302496,45323900,45379740,45387996,45389160,45390687,45391371,45398002,45401068,45404554,	AGPAT3
ENST00000327505	chr21	+	45323771	45404554	45379562	45402273	9	45323771,45379514,45387826,45388998,45390533,45391268,45397926,45400869,45402184,	45323900,45379740,45387996,45389160,45390687,45391371,45398002,45401068,45404554,	AGPAT3
ENST00000445582	chr21	+	45336152	45389034	45379562	45389034	4	45336152,45379514,45387826,45388998,	45336302,45379740,45387996,45389034,	AGPAT3
ENST00000398063	chr21	+	45344888	45406417	45379562	45402273	9	45344888,45379514,45387826,45388998,45390533,45391268,45397926,45400869,45402184,	45345332,45379740,45387996,45389160,45390687,45391371,45398002,45401068,45406417,	AGPAT3
ENST00000291574	chr21	+	45432199	45526433	45432374	45523412	23	45432199,45451971,45457672,45472160,45475578,45478983,45483418,45494204,45494919,45496432,45497573,45499444,45499895,45502668,45504002,45506682,45507579,45509713,45511803,45513943,45518237,45522658,45523173,	45432441,45452053,45457808,45472357,45475774,45479095,45483666,45494351,45495034,45496509,45497665,45499585,45500008,45503183,45504144,45506841,45507809,45509814,45511930,45514114,45518415,45522853,45526433,	TRAPPC10
ENST00000422875	chr21	+	45432205	45524614	45432374	45482941	24	45432205,45451971,45457672,45472160,45475578,45478983,45482933,45483418,45494204,45494919,45496432,45497573,45499444,45499895,45502668,45504002,45506682,45507579,45509713,45511803,45513943,45518237,45522658,45523173,	45432441,45452053,45457808,45472357,45475774,45479095,45483049,45483666,45494351,45495034,45496509,45497665,45499585,45500008,45503183,45504144,45506841,45507809,45509814,45511930,45514114,45518415,45522853,45524614,	TRAPPC10
